CASE_SEQUENCE,WARD,CREATION_MONTH,N_POTHOLES_FILLED_ON_BLOCK,N_DAYS_FOR_COMPLETION,LATITUDE,LONGITUDE
15621,0,3,0,0,41.90884203,-87.80032071
15622,47,3,0,0,41.95032569,-87.68423671
15623,49,3,2.807354922,0,42.0016627,-87.66741271
15624,29,3,0,0,41.90928524,-87.78025811
15625,29,3,1,0,41.91292869,-87.78250541
15626,7,3,3.584962501,0,41.7392468,-87.55629457
15627,10,3,2.584962501,0,41.7299864,-87.55110824
15628,9,3,2.321928095,0,41.72927661,-87.6162294
15629,8,3,1,0,41.75357963,-87.57230249
15630,19,3,3.584962501,0,41.68260029,-87.68346628
15631,39,3,5.087462841,0,41.97365077,-87.74077206
15632,39,3,5.584962501,0,41.97365572,-87.74047795
15633,39,3,1,0,41.97359992,-87.74318769
15634,39,3,3,0,41.97360617,-87.74289362
15635,19,3,3.700439718,0,41.7212937,-87.66482918
15636,19,3,3.584962501,0,41.72125573,-87.66755095
15637,14,3,3,0,41.8079772,-87.72344286
15638,34,3,4,0,41.69505839,-87.65389883
15639,34,3,3,0,41.68405549,-87.64197428
15640,34,3,2.321928095,0,41.67917798,-87.64180515
15641,30,3,3.169925001,0,41.93901994,-87.72432491
15642,15,3,0,0,41.81208123,-87.69295203
15643,29,3,4.95419631,0,41.89104721,-87.77486108
15644,29,3,5.129283017,0,41.89286581,-87.7749213
15645,29,3,5.392317423,0,41.89844948,-87.77510381
15646,29,3,5.209453366,0,41.90026323,-87.77515859
15647,49,3,4.459431619,1.584962501,42.0014855,-87.66479681
15648,49,3,4.523561956,1.584962501,42.00184542,-87.66992795
15649,3,3,4.392317423,1,41.80180222,-87.62795239
15650,15,3,5.491853096,1,41.79019867,-87.69132366
15651,8,3,6.409390936,1,41.73976217,-87.58514882
15652,4,3,0,1,41.81862043,-87.6121707
15653,4,3,2,1,41.81497921,-87.59952343
15654,41,3,3.906890596,1,41.99767435,-87.7579951
15655,12,3,1,1,41.81390034,-87.67254341
15656,47,3,4.247927513,1,41.9550433,-87.67485779
15657,47,3,2.807354922,1,41.95613847,-87.67547447
15658,14,3,4.64385619,1,41.80005453,-87.75427
15659,4,3,0,1,41.80181564,-87.58928915
15660,21,3,1.584962501,1,41.74494735,-87.65344404
15661,11,3,5.781359714,1,41.82722904,-87.63399324
15662,4,3,5,1,41.80409652,-87.59429162
15663,43,3,2,1,41.92230696,-87.64394807
15664,36,3,2.321928095,1.584962501,41.92366907,-87.80009799
15665,14,3,3.459431619,1.584962501,41.79735265,-87.69939399
15666,16,3,5.977279923,1.584962501,41.77390145,-87.68363482
15667,43,3,2.321928095,1.584962501,41.93280254,-87.63925208
15668,14,3,1,1.584962501,41.80778877,-87.72373033
15669,17,3,4.857980995,1.584962501,41.75499802,-87.64764624
15670,17,3,1.584962501,1.584962501,41.75958505,-87.66190661
15671,20,3,4.392317423,1.584962501,41.7741646,-87.61051454
15672,20,3,4.584962501,1.584962501,41.77297958,-87.62089518
15673,15,3,0,1.584962501,41.81621015,-87.70275844
15674,15,3,2.584962501,1.584962501,41.81368048,-87.69206361
15675,15,3,2,1.584962501,41.81185596,-87.6920148
15676,8,3,3.807354922,2,41.74971221,-87.57487656
15677,41,3,3,2,41.97729265,-87.80709037
15678,8,3,3.169925001,2,41.75152885,-87.57490964
15679,28,3,0,2,41.86525419,-87.66619899
15680,47,3,3.459431619,2,41.95058188,-87.6816498
15681,15,3,4.807354922,2,41.81181888,-87.69445863
15682,15,3,5.087462841,2,41.80999031,-87.69440297
15683,14,3,2.584962501,2,41.80089823,-87.70615204
15684,23,3,1,2,41.77870412,-87.71341964
15685,17,3,2.321928095,2,41.77894575,-87.70328312
15686,23,3,1.584962501,2,41.7825569,-87.70338965
15687,15,3,2.321928095,2,41.80840993,-87.6736984
15688,13,3,3.906890596,2,41.78460291,-87.73378286
15689,13,3,4.906890596,2,41.78208763,-87.7337066
15690,8,3,3.906890596,2,41.74259232,-87.57818372
15691,14,3,0,2,41.80210414,-87.71619221
15692,27,3,5.129283017,2,41.89971025,-87.66100792
15693,36,3,2.807354922,2,41.9235088,-87.79277402
15694,47,3,1.584962501,2,41.94895521,-87.69059831
15695,47,3,0,2,41.95410572,-87.69329037
15696,23,3,6.523561956,2,41.78799739,-87.71060681
15697,19,3,2.807354922,2,41.68239995,-87.68194213
15698,19,3,4.700439718,2,41.68080883,-87.68218508
15699,6,3,3.459431619,2,41.75837933,-87.62276567
15700,17,3,2,2,41.77513593,-87.69314234
15701,13,3,3,2,41.77312985,-87.737804
15702,41,3,2.807354922,2,41.97803627,-87.80708403
15703,8,3,3.459431619,2,41.75152885,-87.57490964
15704,2,3,1,2.321928095,41.90977398,-87.67362581
15705,34,3,0,2.321928095,41.67760776,-87.64204806
15706,17,3,1.584962501,2.321928095,41.76485243,-87.67979751
15707,17,3,4.247927513,2.321928095,41.76951963,-87.66622738
15708,1,3,4.754887502,2.321928095,41.92359712,-87.69871397
15709,36,3,4.523561956,2.321928095,41.91885086,-87.74733732
15710,43,3,1,2.321928095,41.91881536,-87.64232669
15711,17,3,2,2.321928095,41.75054956,-87.64418837
15712,17,3,2.807354922,2.321928095,41.75560396,-87.67313931
15713,49,3,3.584962501,2.321928095,42.01617103,-87.67921437
15714,21,3,0,2.584962501,41.73241012,-87.65821504
15715,1,3,3.169925001,2.584962501,41.926027,-87.70221108
15716,41,3,1.584962501,2.584962501,41.97266696,-87.80346426
15717,9,3,5.209453366,2.584962501,41.72724098,-87.61655603
15718,27,3,4.321928095,2.584962501,41.88676882,-87.68418638
15719,29,3,3.321928095,2.584962501,41.93807712,-87.8090241
15720,17,3,5.857980995,2.584962501,41.75492378,-87.66017169
15721,21,3,5.614709844,2.584962501,41.74335942,-87.6511785
15722,21,3,4,2.584962501,41.72106066,-87.64091934
15723,17,3,1,2.584962501,41.76064589,-87.67113827
15724,35,3,2.807354922,2.584962501,41.92632937,-87.71499394
15725,29,3,1,2.807354922,41.93986772,-87.80954478
15726,36,3,4.169925001,2.807354922,41.92523905,-87.80340429
15727,2,3,0,2.807354922,41.92003001,-87.66329878
15728,2,3,3,2.807354922,41.92061652,-87.66481267
15729,47,3,4.459431619,2.807354922,41.96695131,-87.66835767
15730,47,3,0,2.807354922,41.96721785,-87.67270681
15731,43,3,3.906890596,2.807354922,41.93063815,-87.65791257
15732,43,3,1,2.807354922,41.92585498,-87.64619982
15733,36,3,4.754887502,2.807354922,41.91791918,-87.73743886
15734,34,3,0,3.169925001,41.67959829,-87.64211281
15735,36,3,3.459431619,3.169925001,41.91880022,-87.74631662
15736,1,3,0,3.169925001,41.92286413,-87.69515092
15737,2,3,2.584962501,3,41.92410919,-87.66438634
15738,43,3,1,3,41.91327951,-87.6442842
15739,49,3,4.392317423,3,42.01863071,-87.67326698
15740,8,3,6.321928095,3.321928095,41.73982038,-87.5809673
15741,19,3,6.14974712,3.321928095,41.68355112,-87.67895824
15742,36,3,2.321928095,3.321928095,41.92367127,-87.74370305
15743,43,3,0,3.459431619,41.92231962,-87.64460272
15744,21,3,4.906890596,3.459431619,41.7421372,-87.64734613
15745,36,3,3.584962501,3.459431619,41.92761004,-87.79551261
15746,36,3,3,3.459431619,41.91939342,-87.76106332
15747,47,3,3.321928095,3.459431619,41.96715109,-87.66728414
15748,41,3,3.700439718,3.459431619,41.97384967,-87.80008219
15749,8,3,4.247927513,3.459431619,41.75742122,-87.57230652
15750,1,3,1.584962501,3.459431619,41.92500994,-87.68770475
15751,21,3,0,3.459431619,41.72694256,-87.66417491
15752,1,3,4.700439718,3.459431619,41.92193894,-87.69539042
15753,2,3,5.64385619,3.584962501,41.90144741,-87.67892514
15754,43,3,1.584962501,3.584962501,41.91911777,-87.64839696
15755,29,3,5.087462841,3.584962501,41.92911096,-87.80101308
15756,21,3,3.321928095,3.584962501,41.72680313,-87.65079891
15757,29,3,2,3.584962501,41.91816701,-87.80249279
15758,41,3,4.247927513,3.584962501,41.97634691,-87.80923649
15759,41,3,4.392317423,3.584962501,41.97773147,-87.80998152
15760,2,3,3.169925001,3.700439718,41.91101121,-87.67985603
15761,8,3,5.129283017,3.700439718,41.74042301,-87.58737934
15762,34,3,4.247927513,3.700439718,41.67765587,-87.646706
15763,36,3,2,3.700439718,41.91018141,-87.73624887
15764,36,3,3.700439718,3.700439718,41.912167,-87.74125948
15765,36,3,2.584962501,3.700439718,41.92764868,-87.79766069
15766,36,3,5.209453366,3.700439718,41.92912335,-87.79800382
15767,36,3,4.584962501,3.700439718,41.9290954,-87.80077584
15768,49,3,4.700439718,3.700439718,42.01674696,-87.67913023
15769,19,3,3.584962501,3.700439718,41.7299613,-87.68139461
15770,29,3,2.584962501,3.807354922,41.90909681,-87.79778348
15771,41,3,4.700439718,3.807354922,42.00918945,-87.8151785
15772,41,3,5.392317423,3.807354922,42.0160165,-87.81009861
15773,41,3,3,3.807354922,42.00608497,-87.81659739
15774,2,3,3.169925001,3.807354922,41.90286663,-87.68198723
15775,41,3,1,3.807354922,41.97952846,-87.81341906
15776,21,3,4.857980995,3.906890596,41.73180389,-87.66822409
15777,34,3,4.700439718,3.906890596,41.68290985,-87.64923111
15778,21,3,4.392317423,3.906890596,41.73780746,-87.65735279
15779,19,3,1.584962501,4.087462841,41.72441436,-87.68202643
15780,8,3,1,4.087462841,41.72215394,-87.60444774
15781,10,3,5.169925001,4,41.73905964,-87.55525263
15782,27,3,3.700439718,4,41.88673924,-87.68663897
15783,35,3,5.64385619,4,41.93016977,-87.71851901
15784,29,3,5.95419631,4,41.90390462,-87.77527816
15785,8,3,4.523561956,4.169925001,41.75605105,-87.57256739
15786,19,3,1.584962501,4.169925001,41.72471292,-87.68203513
15787,7,3,3.321928095,4.169925001,41.72798568,-87.56469194
15788,28,3,1.584962501,4.169925001,41.87981032,-87.70126119
15789,41,3,4.321928095,4.169925001,42.00611184,-87.81615509
15790,8,3,1.584962501,4.169925001,41.7569385,-87.57869387
15791,8,3,1,4.169925001,41.75512054,-87.57865355
15792,34,3,4.247927513,4.247927513,41.69992813,-87.62767147
15793,7,3,3.807354922,4.247927513,41.72456964,-87.56326733
15794,29,3,3.906890596,4.247927513,41.91610773,-87.80366719
15795,29,3,3.321928095,4.247927513,41.91610773,-87.80366719
15796,29,3,5.523561956,4.247927513,41.91635759,-87.79882812
15797,29,3,4.95419631,4.247927513,41.91823939,-87.79513422
15798,29,3,5.321928095,4.247927513,41.91270735,-87.79871271
15799,29,3,5.614709844,4.247927513,41.91091278,-87.79619319
15800,36,3,3.807354922,4.247927513,41.92066138,-87.7487335
15801,43,3,2.807354922,4.247927513,41.9132087,-87.63921802
15802,49,3,3,4.247927513,42.01939069,-87.68570286
15803,21,3,5.459431619,4.321928095,41.74139466,-87.66090353
15804,21,3,1.584962501,4.321928095,41.7440723,-87.66313374
15805,21,3,3.584962501,4.321928095,41.74662563,-87.66319622
15806,8,3,3.459431619,4.321928095,41.75516506,-87.57498672
15807,8,3,6.044394119,4.321928095,41.740477,-87.5880779
15808,8,3,5.285402219,4.321928095,41.74073802,-87.58058989
15809,8,3,5.426264755,4.321928095,41.74077229,-87.57815333
15810,1,3,4.392317423,4.321928095,41.9309215,-87.68022005
15811,8,3,4.169925001,4.321928095,41.74793898,-87.57119414
15812,8,3,0,4.321928095,41.75884419,-87.57139367
15813,8,3,2.321928095,4.321928095,41.75884419,-87.57139367
15814,8,3,4.459431619,4.321928095,41.75361458,-87.57251064
15815,8,3,2.321928095,4.321928095,41.75520742,-87.57132476
15816,36,3,3.321928095,4.459431619,41.91496166,-87.74883335
15817,29,3,0,4.459431619,41.93450708,-87.80487004
15818,36,3,4.169925001,4.392317423,41.91974572,-87.74850208
15819,19,3,4.906890596,4.392317423,41.70184614,-87.66191585
15820,21,3,4.459431619,4.392317423,41.74331345,-87.6606854
15821,8,3,2.807354922,4.523561956,41.74740539,-87.56874956
15822,10,3,3.906890596,4.584962501,41.7277885,-87.55602495
15823,10,3,1,4.584962501,41.7279905,-87.55312974
15824,29,3,0,4.584962501,41.91635903,-87.80060184
15825,41,3,5.044394119,4.584962501,42.01814422,-87.81129708
15826,27,3,5.906890596,4.584962501,41.88651087,-87.68889487
15827,35,3,4.754887502,4.584962501,41.93712986,-87.71717968
15828,10,3,2,4.584962501,41.72998249,-87.55140127
15829,36,3,1.584962501,4.584962501,41.91704199,-87.74617609
15830,21,3,3.700439718,4.584962501,41.73255965,-87.64844867
15831,49,3,3,4.584962501,42.00182975,-87.67097112
15832,28,3,1,4.64385619,41.86838877,-87.70090554
15833,28,3,1,4.64385619,41.87748509,-87.7011743
15834,28,3,4.857980995,4.64385619,41.8759743,-87.70338116
15835,19,3,4.906890596,4.64385619,41.69935577,-87.66061314
15836,29,3,1,4.64385619,41.93788303,-87.81299646
15837,29,3,2.584962501,4.64385619,41.90912795,-87.79542592
15838,41,3,0,4.64385619,42.0177215,-87.81496388
15839,36,3,3.169925001,4.64385619,41.91599469,-87.75094008
15840,2,3,2,4.64385619,41.89938019,-87.68070583
15841,2,3,3.700439718,4.64385619,41.90235634,-87.67788614
15842,34,3,5.832890014,4.64385619,41.67205241,-87.6564814
15843,21,3,1,4.700439718,41.73538636,-87.66898915
15844,10,3,3,4.700439718,41.73361983,-87.5514126
15845,10,3,4.754887502,4.700439718,41.72308374,-87.55122681
15846,41,3,1.584962501,4.700439718,42.01729711,-87.81374687
15847,41,3,2,4.700439718,42.01871747,-87.81271461
15848,29,3,4.700439718,4.700439718,41.90209124,-87.77521789
15849,9,3,3.584962501,4.700439718,41.72200719,-87.61278824
15850,21,3,6.339850003,4.700439718,41.74055374,-87.65847593
15851,10,2,3.807354922,4.754887502,41.73627854,-87.55541058
15852,29,2,3.584962501,4.754887502,41.91644754,-87.79263161
15853,41,2,3.321928095,4.754887502,41.9853869,-87.81200951
15854,9,2,2.321928095,4.754887502,41.73113548,-87.61426881
15855,29,2,0,4.754887502,41.91648315,-87.7902164
15856,10,2,2.584962501,4.754887502,41.73563366,-87.55408833
15857,29,2,3,4.754887502,41.93573139,-87.81262872
15858,8,2,3.807354922,4.754887502,41.74795537,-87.56997317
15859,29,2,4,4.807354922,41.93805675,-87.81300271
15860,9,2,4.169925001,4.807354922,41.73117429,-87.61184036
15861,27,2,3.906890596,4.807354922,41.8884159,-87.68647682
15862,9,2,4.523561956,4.807354922,41.73111059,-87.6118133
15863,29,2,4.459431619,4.807354922,41.91633894,-87.800658
15864,36,2,3,4.807354922,41.92174235,-87.74273584
15865,9,2,3.584962501,4.807354922,41.72742356,-87.61566131
15866,9,2,1.584962501,4.807354922,41.72754101,-87.61069377
15867,8,2,0,4.807354922,41.72757887,-87.60835147
15868,9,2,3.906890596,4.807354922,41.73208653,-87.61186422
15869,9,2,3.584962501,4.807354922,41.73204731,-87.61428994
15870,41,2,3.321928095,4.807354922,42.01157181,-87.80806215
