,Activation Function,nLayer,nHiddenNeuron,nIteration,Best Loss,RMSE,Relative Error,Pearson Corr,Elapsed Time
75,tanh,6,1,178,8.901549,4.21874,1.134523,0.092009,4.399506
76,tanh,6,2,20,8.97526,4.236642,1.12255,0.008354,0.651089
77,tanh,6,3,187,8.852509,4.205539,1.118478,0.122421,5.415717
78,tanh,6,4,150,8.825987,4.200045,1.143587,0.131616,4.424549
79,tanh,6,5,288,8.755453,4.175791,1.133738,0.17222,8.992302
80,tanh,7,1,99,8.912395,4.221533,1.156813,0.084454,2.773352
81,tanh,7,2,70,8.89677,4.217884,1.119554,0.094827,2.182963
82,tanh,7,3,160,8.863976,4.209508,1.128593,0.113213,5.293318
83,tanh,7,4,170,8.85072,4.202498,1.144307,0.127359,5.712808
84,tanh,7,5,222,8.80082,4.196411,1.164065,0.138723,7.989083
85,tanh,8,1,67,8.913381,4.221884,1.152907,0.083522,2.109209
86,tanh,8,2,73,8.901803,4.218706,1.160784,0.093068,2.507977
87,tanh,8,3,172,8.862567,4.21162,1.161418,0.109491,6.311529
88,tanh,8,4,153,8.846849,4.206889,1.151963,0.11854,5.722495
89,tanh,8,5,158,8.858607,4.205286,1.125038,0.122401,6.321058
90,tanh,9,1,18,8.974815,4.236664,1.12414,-0.000277,0.725158
91,tanh,9,2,19,8.975234,4.236663,1.12223,0.004664,0.825315
92,tanh,9,3,175,8.868991,4.21426,1.170702,0.106064,7.055494
93,tanh,9,4,248,8.802678,4.197763,1.126294,0.135991,10.131953
94,tanh,9,5,159,8.776247,4.185871,1.120818,0.160053,7.095958
95,tanh,10,1,18,8.974929,4.236667,1.126715,,0.81763
96,tanh,10,2,129,8.889107,4.215346,1.140472,0.100275,5.197974
97,tanh,10,3,117,8.891137,4.215522,1.157273,0.100343,5.190335
98,tanh,10,4,138,8.851172,4.208455,1.148307,0.115588,6.83304
99,tanh,10,5,171,8.848899,4.203645,1.139371,0.124994,8.432926
